name,occupation,marriage_no,partner_name,duration_years,currently_married,partner_occupation
Bill Huizenga,Politician,1,Natalie Huizenga,28,True,Unknown
Peter Meijer,Politician,1,Gabriella Zacarias,5,True,Unknown
Dan Kildee,Politician,1,Jennifer Kildee,33,True,Unknown
Fred Upton,Politician,1,Amey Rulon-Miller,38,True,Unknown
Tim Walberg,Unknown,1,Susan Walberg,47,True,Unknown
Elissa Slotkin,Politician,1,David Moore,4,True,Unknown
Andy Levin,Politician,1,Mary Freeman,30,True,Unknown
Debbie Dingell,Politician,1,John Dingell,38,False,Unknown
Rashida Tlaib,Politician,1,Fayez Tlaib,17,False,Unknown
Brenda Lawrence,Politician,1,McArthur Lawrence,45,True,Unknown
Jim Hagedorn,Politician,1,Jennifer Carnahan,3,True,Politician
Dean Phillips,Politician,1,Karin Ernisman,20,False,Unknown
Dean Phillips,Politician,2,Annalise Glick,2,True,Unknown
Ilhan Omar,Politician,1,Ahmed Nur Said Elmi [a],8,False,Unknown
Ilhan Omar,Politician,2,Ahmed Abdisalan Hirsi [b],1,False,Unknown
Ilhan Omar,Politician,3,Tim Mynett,1,True,Unknown
Tom Emmer,Politician,1,Jacqueline Emmer,35,True,Unknown
Bennie Thompson,Politician,1,London Johnson,53,True,Unknown
Steven Palazzo,Politician,1,Lisa Belvin,20,False,Unknown
Ann Wagner,Politician,1,Raymond Wagner,34,True,Unknown
Blaine Luetkemeyer,Politician,1,Jackie Luetkemeyer,45,True,Unknown
Billy Long,Politician,1,Barbara Long,37,True,Unknown
Matt Rosendale,Politician,1,Jean Rosendale,36,True,Unknown
Don Bacon,Politician,1,Angie Hardison,37,True,Unknown
Dina Titus,Politician,1,Thomas Wright,42,True,Unknown
Steven Horsford,Politician,1,Sonya Horsford,21,True,Unknown
Josh Gottheimer,Politician,1,Marla Tusk,15,True,Unknown
Frank Pallone,Politician,1,Sarah Hospodor,29,True,Unknown
Albio Sires,Politician,1,Adrienne Kole,35,True,Unknown
Bill Pascrell,Politician,1,Elsie Botto,59,True,Unknown
Bonnie Watson Coleman,Politician,1,William Coleman,26,True,Unknown
Grace Meng,Politician,1,Wayne Kye,16,True,Unknown
Nydia Velazquez,Politician,1,Paul Bader,21,True,Unknown
Jerrold Nadler,Politician,1,Joyce Miller,45,True,Unknown
Carolyn Maloney,Politician,1,Clifton Maloney,33,False,Unknown
Adriano Espaillat,Politician,1,Martha Madera,42,True,Unknown
